赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2014-2015,18,莱万特,103,19,3,4,12,14,37,-23,0.158,0.211,0.632,0.74,1.95,13
2014-2015,19,格拉那达,121,19,3,4,12,16,47,-31,0.158,0.211,0.632,0.84,2.47,13
2014-2015,20,科尔多瓦,146,19,2,5,12,10,35,-25,0.105,0.263,0.632,0.53,1.84,11
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2015-2016,1,巴塞罗那,84,19,13,3,3,45,15,30,0.684,0.158,0.158,2.37,0.79,42
2015-2016,2,皇家马德里,82,19,12,5,2,40,18,22,0.632,0.263,0.105,2.11,0.95,41
2015-2016,3,马德里竞技,109,19,13,1,5,30,11,19,0.684,0.053,0.263,1.58,0.58,40
2015-2016,4,塞尔塔,114,19,8,3,8,22,34,-12,0.421,0.158,0.421,1.16,1.79,27
2015-2016,5,毕尔巴鄂竞技,92,19,7,4,8,23,28,-5,0.368,0.211,0.421,1.21,1.47,25
2015-2016,6,比利亚雷亚尔,107,19,6,6,7,18,23,-5,0.316,0.316,0.368,0.95,1.21,24
2015-2016,7,皇家社会,106,19,6,4,9,23,28,-5,0.316,0.211,0.474,1.21,1.47,22
2015-2016,8,拉科鲁尼亚,93,19,4,10,5,20,27,-7,0.211,0.526,0.263,1.05,1.42,22
2015-2016,9,皇家贝蒂斯,96,19,5,6,8,17,29,-12,0.263,0.316,0.421,0.89,1.53,21
2015-2016,10,巴伦西亚,91,19,5,4,10,21,25,-4,0.263,0.211,0.526,1.11,1.32,19
2015-2016,11,马拉加,102,19,4,6,9,12,20,-8,0.211,0.316,0.474,0.63,1.05,18
2015-2016,12,格拉那达,121,19,4,4,11,20,38,-18,0.211,0.211,0.579,1.05,2.0,16
2015-2016,13,拉斯帕尔马斯,991,19,4,3,12,20,36,-16,0.211,0.158,0.632,1.05,1.89,15
2015-2016,14,埃瓦尔,131,19,3,5,11,23,39,-16,0.158,0.263,0.579,1.21,2.05,14
2015-2016,15,希洪竞技,113,19,3,5,11,12,34,-22,0.158,0.263,0.579,0.63,1.79,14
2015-2016,16,西班牙人,100,19,3,2,14,18,46,-28,0.158,0.105,0.737,0.95,2.42,11
2015-2016,17,赫塔菲,98,19,3,2,14,14,47,-33,0.158,0.105,0.737,0.74,2.47,11
2015-2016,18,巴列卡诺,994,19,1,7,11,23,44,-21,0.053,0.368,0.579,1.21,2.32,10
2015-2016,19,塞维利亚,86,19,0,9,10,13,29,-16,0.0,0.474,0.526,0.68,1.53,9
2015-2016,20,莱万特,103,19,1,3,15,14,44,-30,0.053,0.158,0.789,0.74,2.32,6
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2016-2017,1,皇家马德里,82,19,15,2,2,58,21,37,0.789,0.105,0.105,3.05,1.11,47
2016-2017,2,巴塞罗那,84,19,13,3,3,52,20,32,0.684,0.158,0.158,2.74,1.05,42
2016-2017,3,马德里竞技,109,19,9,7,3,30,13,17,0.474,0.368,0.158,1.58,0.68,34
2016-2017,4,比利亚雷亚尔,107,19,8,6,5,21,15,6,0.421,0.316,0.263,1.11,0.79,30
2016-2017,5,皇家社会,106,19,9,2,8,29,29,0,0.474,0.105,0.421,1.53,1.53,29
2016-2017,6,西班牙人,100,19,7,6,6,21,26,-5,0.368,0.316,0.316,1.11,1.37,27
2016-2017,7,阿拉维斯,137,19,7,5,7,22,22,0,0.368,0.263,0.368,1.16,1.16,26
2016-2017,8,塞维利亚,86,19,7,5,7,30,33,-3,0.368,0.263,0.368,1.58,1.74,26
2016-2017,9,埃瓦尔,131,19,5,6,8,27,30,-3,0.263,0.316,0.421,1.42,1.58,21
2016-2017,10,毕尔巴鄂竞技,92,19,6,2,11,17,25,-8,0.316,0.105,0.579,0.89,1.32,20
2016-2017,11,巴伦西亚,91,19,5,3,11,24,33,-9,0.263,0.158,0.579,1.26,1.74,18
2016-2017,12,塞尔塔,114,19,4,4,11,23,37,-14,0.211,0.211,0.579,1.21,1.95,16
2016-2017,13,马拉加,102,19,2,8,9,17,30,-13,0.105,0.421,0.474,0.89,1.58,14
2016-2017,14,雷加利斯,992,19,3,5,11,14,32,-18,0.158,0.263,0.579,0.74,1.68,14
2016-2017,15,皇家贝蒂斯,96,19,4,2,13,19,40,-21,0.211,0.105,0.684,1.0,2.11,14
2016-2017,16,希洪竞技,113,19,2,6,11,16,34,-18,0.105,0.316,0.579,0.84,1.79,12
2016-2017,17,拉科鲁尼亚,93,19,1,7,11,16,38,-22,0.053,0.368,0.579,0.84,2.0,10
2016-2017,18,奥萨苏纳,94,19,2,3,14,17,55,-38,0.105,0.158,0.737,0.89,2.89,9
2016-2017,19,拉斯帕尔马斯,991,19,1,3,15,20,49,-29,0.053,0.158,0.789,1.05,2.58,6
2016-2017,20,格拉那达,121,19,0,4,15,13,50,-37,0.0,0.211,0.789,0.68,2.63,4
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2017-2018,1,巴塞罗那,84,19,12,6,1,46,18,28,0.632,0.316,0.053,2.42,0.95,42
2017-2018,2,马德里竞技,109,19,11,4,4,28,14,14,0.579,0.211,0.211,1.47,0.74,37
2017-2018,3,皇家马德里,82,19,10,6,3,40,24,16,0.526,0.316,0.158,2.11,1.26,36
2017-2018,4,巴伦西亚,91,19,9,4,6,29,22,7,0.474,0.211,0.316,1.53,1.16,31
2017-2018,5,皇家贝蒂斯,96,19,8,2,9,25,30,-5,0.421,0.105,0.474,1.32,1.58,26
2017-2018,6,比利亚雷亚尔,107,19,7,4,8,22,28,-6,0.368,0.211,0.421,1.16,1.47,25
2017-2018,7,赫塔菲,98,19,6,6,7,16,20,-4,0.316,0.316,0.368,0.84,1.05,24
2017-2018,8,赫罗纳,982,19,6,6,7,24,37,-13,0.316,0.316,0.368,1.26,1.95,24
2017-2018,9,埃瓦尔,131,19,6,5,8,18,31,-13,0.316,0.263,0.421,0.95,1.63,23
2017-2018,10,塞维利亚,86,19,6,2,11,18,36,-18,0.316,0.105,0.579,0.95,1.89,20
2017-2018,11,阿拉维斯,137,19,6,1,12,19,27,-8,0.316,0.053,0.632,1.0,1.42,19
2017-2018,12,西班牙人,100,19,4,7,8,16,26,-10,0.211,0.368,0.421,0.84,1.37,19
2017-2018,13,莱万特,103,19,4,7,8,19,30,-11,0.211,0.368,0.421,1.0,1.58,19
2017-2018,14,毕尔巴鄂竞技,92,19,4,5,10,22,33,-11,0.211,0.263,0.526,1.16,1.74,17
2017-2018,15,塞尔塔,114,19,5,2,12,25,37,-12,0.263,0.105,0.632,1.32,1.95,17
2017-2018,16,皇家社会,106,19,4,4,11,19,30,-11,0.211,0.211,0.579,1.0,1.58,16
2017-2018,17,雷加利斯,992,19,3,3,13,15,32,-17,0.158,0.158,0.684,0.79,1.68,12
2017-2018,18,拉科鲁尼亚,93,19,2,5,12,16,43,-27,0.105,0.263,0.632,0.84,2.26,11
2017-2018,19,拉斯帕尔马斯,991,19,1,5,13,9,36,-27,0.053,0.263,0.684,0.47,1.89,8
2017-2018,20,马拉加,102,19,1,2,16,10,34,-24,0.053,0.105,0.842,0.53,1.79,5
